name,symbol,price
Bitcoin,BTC,"$27,788.71"
Ethereum,ETH,$645.81
Tether,USDT,$0.997645
XRP,XRP,$0.291391
Litecoin,LTC,$133.67
Bitcoin Cash,BCH,$336.53
Cardano,ADA,$0.156067
Binance Coin,BNB,$33.23
Polkadot,DOT,$5.15
Chainlink,LINK,$10.88
USD Coin,USDC,$0.999339
Wrapped Bitcoin,WBTC,"$27,743.85"
Stellar,XLM,$0.143200
Bitcoin SV,BSV,$166.75
Monero,XMR,$166.84
EOS,EOS,$2.63
NEM,XEM,$0.231890
TRON,TRX,$0.027813
THETA,THETA,$1.52
Tezos,XTZ,$1.95
UNUS SED LEO,LEO,$1.36
Crypto.com Coin,CRO,$0.058388
Dai,DAI,$1.00
VeChain,VET,$0.017007
Neo,NEO,$14.88
Dash,DASH,$105.69
Filecoin,FIL,$23.11
Revain,REV,$0.011612
Cosmos,ATOM,$4.75
Celsius,CEL,$4.05
Zilliqa,ZIL,$0.088808
Aave,AAVE,$74.83
Uniswap,UNI,$3.42
Synthetix,SNX,$7.86
Binance USD,BUSD,$0.999900
Huobi Token,HT,$3.98
IOTA,MIOTA,$0.283834
Zcash,ZEC,$66.49
Ethereum Classic,ETC,$5.79
yearn.finance,YFI,"$22,401.31"
Waves,WAVES,$6.24
Dogecoin,DOGE,$0.004575
Compound,COMP,$130.55
The Graph,GRT,$0.441853
Maker,MKR,$540.17
Decred,DCR,$39.79
FTX Token,FTT,$5.21
UMA,UMA,$7.98
SushiSwap,SUSHI,$2.41
Kusama,KSM,$47.75
DigiByte,DGB,$0.028864
renBTC,RENBTC,"$27,751.25"
OKB,OKB,$6.19
Algorand,ALGO,$0.309945
Ontology,ONT,$0.451490
OMG Network,OMG,$2.52
Nexo,NEXO,$0.615930
Elrond,EGLD,$22.54
Basic Attention Token,BAT,$0.212239
BitTorrent,BTT,$0.000297
0x,ZRX,$0.388156
SwissBorg,CHSB,$0.303302
TrueUSD,TUSD,$0.998426
Terra,LUNA,$0.561931
ICON,ICX,$0.423503
Paxos Standard,PAX,$0.996574
Blockstack,STX,$0.327766
Ren,REN,$0.254639
Avalanche,AVAX,$2.91
Qtum,QTUM,$2.26
Hedera Hashgraph,HBAR,$0.032897
NEAR Protocol,NEAR,$1.05
Ampleforth,AMPL,$0.942812
Energy Web Token,EWT,$6.40
ABBC Coin,ABBC,$0.218189
Loopring,LRC,$0.149991
Celo,CELO,$1.43
Augur,REP,$15.87
HedgeTrade,HEDG,$0.511709
Kyber Network,KNC,$0.836059
TerraUSD,UST,$0.997257
MaidSafeCoin,MAID,$0.354936
HUSD,HUSD,$0.999299
Reserve Rights,RSR,$0.016850
Bitcoin Gold,BTG,$8.96
Theta Fuel,TFUEL,$0.031228
Lisk,LSK,$1.21
Siacoin,SC,$0.003367
Nano,NANO,$1.05
THORChain,RUNE,$0.872934
Quant,QNT,$11.45
Verge,XVG,$0.008351
Horizen,ZEN,$12.60
Ocean Protocol,OCEAN,$0.310450
CyberVein,CVT,$0.119168
Decentraland,MANA,$0.081347
Bancor,BNT,$1.27
Chiliz,CHZ,$0.022111
ZB Token,ZB,$0.258026
Aragon,ANT,$2.89
Enjin Coin,ENJ,$0.138710
Status,SNT,$0.031261
RSK Infrastructure Framework,RIF,$0.156636
Band Protocol,BAND,$5.15
Numeraire,NMR,$23.24
Ravencoin,RVN,$0.013296
NXM,NXM,$17.67
Gnosis,GNO,$67.88
Holo,HOT,$0.000593
Kin,KIN,$0.000062
Bitcoin Diamond,BCD,$0.493371
Helium,HNT,$1.45
MonaCoin,MONA,$1.39
Orchid,OXT,$0.247551
IOST,IOST,$0.005870
Matic Network,MATIC,$0.018502
Nervos Network,CKB,$0.004034
Balancer,BAL,$12.28
Arweave,AR,$2.32
Bytom,BTM,$0.055081
PAX Gold,PAXG,"$1,931.31"
Golem,GNT,$0.110100
Curve DAO Token,CRV,$0.468007
Syntropy,NOIA,$0.225896
Injective Protocol,INJ,$4.76
Unibright,UBT,$0.469310
DxChain Token,DX,$0.001386
BitShares,BTS,$0.023047
Ardor,ARDR,$0.068136
Komodo,KMD,$0.534240
Storj,STORJ,$0.302927
Steem,STEEM,$0.163319
Oasis Network,ROSE,$0.042801
Kleros,PNK,$0.110091
OriginTrail,TRAC,$0.187453
Keep3rV1,KP3R,$312.74
Kava.io,KAVA,$1.32
Hyperion,HYN,$0.141192
iExec RLC,RLC,$0.760227
Civic,CVC,$0.089833
Solana,SOL,$1.29
aelf,ELF,$0.109495
The Midas Touch Gold,TMTG,$0.007209
Energi,NRG,$1.60
Ankr,ANKR,$0.008778
Wanchain,WAN,$0.334131
WAX,WAXP,$0.037544
Swipe,SXP,$0.680110
KuCoin Shares,KCS,$0.682522
Divi,DIVI,$0.026364
Electroneum,ETN,$0.005146
TomoChain,TOMO,$0.686423
JUST,JST,$0.022899
DFI.Money,YFII,"$1,328.57"
Velas,VLX,$0.023322
Utrust,UTK,$0.109110
Serum,SRM,$0.977244
Polymath,POLY,$0.087491
Hive,HIVE,$0.115359
Ark,ARK,$0.377279
Stratis,STRAX,$0.473208
ShareToken,SHR,$0.020907
Pundi X,NPXS,$0.000183
Haven Protocol,XHV,$2.99
Fantom,FTM,$0.016602
Power Ledger,POWR,$0.099636
MCO,MCO,$2.64
Melon,MLN,$27.59
Harmony,ONE,$0.004901
IoTeX,IOTX,$0.006810
STASIS EURO,EURS,$1.22
SingularityNET,AGI,$0.045770
Firo,XZC,$3.40
Ultra,UOS,$0.135497
Fetch.ai,FET,$0.050698
SOLVE,SOLVE,$0.096326
Travala.com,AVA,$0.760223
QuarkChain,QKC,$0.005432
AdEx Network,ADX,$0.318015
Request,REQ,$0.033902
IRISnet,IRIS,$0.036447
Streamr,DATA,$0.046935
1inch,1INCH,$1.29
Syscoin,SYS,$0.055291
Handshake ,HNS,$0.096470
Hxro,HXRO,$0.184930
Aion,AION,$0.066726
GateToken,GT,$0.438071
ReddCoin,RDD,$0.001313
DIA,DIA,$1.13
Voyager Token,VGX,$0.143923
TrustSwap,SWAP,$0.452046
Aeternity,AE,$0.095765
Super Zero Protocol,SERO,$0.103266
Loki,LOKI,$0.593093
SUN,SUN,$6.61
WaykiChain,WICC,$0.160104
v.systems,VSYS,$0.013793
Wirex Token,WXT,$0.009022
Thunder Token,TT,$0.005031
